id,lat,lon,address,city,departament,country
1,4.578096,-74.216416,Cl. 13 #2a-35,Soacha,Cundinamarca,Colombia
2,4.578042,-74.216516,Cl. 13 #2a-37,Soacha,Cundinamarca,Colombia
3,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
4,8.550877,-72.934497,H328+96,El Tarra,Norte de Santander,Colombia
5,5.813176,-73.029385,Cra. 31B #1679,Duitama,Boyacá,Colombia
6,4.788328,-74.042309,Autopista Nte. #209-51,Usaquén,Bogotá,Colombia
7,5.57179,-73.33412,Carrera 2 E No 75-84,Tunja,Boyacá,Colombia
8,4.622524,-74.106378,Cl. 6 #45-51,Bogotá,Bogotá,Colombia
9,5.826157,-73.038982,Cl. 9a #14-12,Duitama,Boyacá,Colombia
10,5.537299,-73.358916,Cl. 25 #8-54,Tunja,Boyacá,Colombia
11,5.543004,-73.357278,Dg 30A #929,Tunja,Boyacá,Colombia
12,5.530072,-73.368873,Cra. 15 #16-2 a 16-40,Tunja,Boyacá,Colombia
13,4.586165,-74.131812,Cra. 33 #48 Sur-1 a 48 Sur-55,Bogotá,Bogotá,Colombia
14,4.622524,-74.106378,Cl. 6 #45-51,Bogotá,Bogotá,Colombia
15,5.543465,-73.363257,Cl. 29 #15-52,Tunja,Boyacá,Colombia
16,5.545013,-73.348607,Av Universitaria #97,Tunja,Boyacá,Colombia
17,5.550028,-73.354248,Cra. 6 #39-63,Tunja,Boyacá,Colombia
18,5.813176,-73.029385,Cra. 31B #1679,Duitama,Boyacá,Colombia
19,4.582593,-74.21998,Cra. 8 #12-41,Soacha,Cundinamarca,Colombia
20,5.811204,-73.020746,Cl. 20 #40-33,Duitama,Boyacá,Colombia
21,5.57068,-73.340667,Cl. 66b #2-18,Tunja,Boyacá,Colombia
22,5.823334,-73.04401,Cra. 12 #1-33,Duitama,Boyacá,Colombia
23,4.578346,-74.135729,11001,Bogotá,Bogotá,Colombia
24,5.813323,-73.017256,36,Duitama,Boyacá,Colombia
